scenario,limit_mode,frequency_multiplier,severity_multiplier,design,mean,mean_mcse,sd,var95,var95_mcse,var99,var99_mcse,tvar99,tvar99_mcse,model_mean,model_sd,mean_check_z,simulated_claims
Sensitivity,Limited,0.6,1.25,A,79168.89372679536,24.53218014544771,17346.87093813606,109257.56090904152,60.72411490954769,123430.11741900681,113.43795598112683,131096.65928441173,146.64479736398567,79159.54744458795,17331.897167373594,0.38130964336561307,30970582
Sensitivity,Limited,0.6,1.25,B,71666.21127287918,18.62219908793001,13167.88325568125,94321.37949157666,43.49494703663193,104817.6703414292,88.03173188848123,110326.16423469735,105.71931744302229,71660.96724858956,13158.788882672223,0.2817953209040901,30970582
Sensitivity,Unlimited,0.6,1.25,A,79168.89372679536,24.53218014544771,17346.87093813606,109257.56090904152,60.72411490954769,123430.11741900681,113.43795598112683,131096.65928441173,146.64479736398567,79159.54744458795,17331.897167373594,0.38130964336561307,30970582
Sensitivity,Unlimited,0.6,1.25,B,71666.21127287918,18.62219908793001,13167.88325568125,94321.37949157666,43.49494703663193,104817.6703414292,88.03173188848123,110326.16423469735,105.71931744302229,71660.96724858956,13158.788882672223,0.2817953209040901,30970582
Sensitivity,Limited,0.6,1.3,A,83994.839667144,25.78458860810181,18232.457454894193,115586.70868175042,64.2966473711648,130473.26706282681,118.96291072871483,138513.0836660297,153.74645246762353,83985.23384263777,18216.954770199223,0.37285834723347494,30970582
Sensitivity,Limited,0.6,1.3,B,74887.26968442426,19.41772450894692,13730.404675488593,98511.50451970169,45.32056421698514,109447.11511873291,92.0986307067027,115189.77545631713,110.19990114411378,74881.806491054,13720.93750408966,0.2815449802824581,30970582
Sensitivity,Unlimited,0.6,1.3,A,83994.839667144,25.78458860810181,18232.457454894193,115586.70868175042,64.2966473711648,130473.26706282681,118.96291072871483,138513.0836660297,153.74645246762353,83985.23384263777,18216.954770199223,0.37285834723347494,30970582
Sensitivity,Unlimited,0.6,1.3,B,74887.26968442426,19.41772450894692,13730.404675488593,98511.50451970169,45.32056421698514,109447.11511873291,92.0986307067027,115189.77545631713,110.19990114411378,74881.806491054,13720.93750408966,0.2815449802824581,30970582
Sensitivity,Limited,0.7,1.0,A,64865.00153888549,19.832386254639147,14023.614807766216,89138.82361954823,48.69831930388042,100737.35930621262,90.83289412500734,106788.50362205849,117.42604307725438,64844.83891539275,14002.61595103204,1.018176021400922,36132471
Sensitivity,Limited,0.7,1.0,B,64857.514015978864,15.866456818901188,11219.279210048568,84067.50353543853,37.224297265277215,93067.42817158005,72.52132278556887,97655.71490538312,89.08687598588055,64844.83891539275,11207.874221494174,0.7996743538998025,36132471
Sensitivity,Unlimited,0.7,1.0,A,64865.00153888549,19.832386254639147,14023.614807766216,89138.82361954823,48.69831930388042,100737.35930621262,90.83289412500734,106788.50362205849,117.42604307725438,64844.83891539275,14002.61595103204,1.018176021400922,36132471
Sensitivity,Unlimited,0.7,1.0,B,64857.514015978864,15.866456818901188,11219.279210048568,84067.50353543853,37.224297265277215,93067.42817158005,72.52132278556887,97655.71490538312,89.08687598588055,64844.83891539275,11207.874221494174,0.7996743538998025,36132471
Sensitivity,Limited,0.7,1.05,A,70264.65750625113,21.169124154992634,14968.831241775235,96140.92959302248,52.343762698588826,108508.26658094779,95.85840892434211,114946.30269275073,124.92873839260355,70243.43199915439,14946.880525768775,1.0041359450455465,36132471
Sensitivity,Limited,0.7,1.05,B,68605.34327853526,16.727543567061716,11828.15948886275,88853.82207604912,39.31189641802632,98334.23022198408,75.98392945754392,103172.5561046311,93.90263095917824,68592.01648803845,11816.222514117097,0.7975022407108145,36132471
Sensitivity,Unlimited,0.7,1.05,A,70264.65750625113,21.169124154992634,14968.831241775235,96140.92959302248,52.343762698588826,108508.26658094779,95.85840892434211,114946.30269275073,124.92873839260355,70243.43199915439,14946.880525768775,1.0041359450455465,36132471
Sensitivity,Unlimited,0.7,1.05,B,68605.34327853526,16.727543567061716,11828.15948886275,88853.82207604912,39.31189641802632,98334.23022198408,75.98392945754392,103172.5561046311,93.90263095917824,68592.01648803845,11816.222514117097,0.7975022407108145,36132471
Sensitivity,Limited,0.7,1.1,A,75721.72829167297,22.51089533885693,15917.60674468638,103227.45064360887,55.78106627704024,116361.42111553444,101.10105356277565,123170.86639340186,132.29128052841165,75699.53985335825,15894.720430023528,0.987094756737354,36132471
Sensitivity,Limited,0.7,1.1,B,72355.86788407224,17.58887277372091,12437.211211725496,93648.20327486136,41.52552033695542,103598.18599926255,79.87343411296622,108692.54851208275,98.77976309318254,72341.89858447181,12424.732656486702,0.7950099812195126,36132471
Sensitivity,Unlimited,0.7,1.1,A,75721.72829167297,22.51089533885693,15917.60674468638,103227.45064360887,55.78106627704024,116361.42111553444,101.10105356277565,123170.86639340186,132.29128052841165,75699.53985335825,15894.720430023528,0.987094756737354,36132471
