scenario,limit_mode,frequency_multiplier,severity_multiplier,design,expected_retention_per_claim,expected_retention_annual_per_vehicle,retention_share_of_losses,mc_retention_per_claim,mc_retention_annual_per_vehicle,mc_retention_share,expected_below_deductible,mc_below_deductible,expected_at_limit,mc_at_limit
Sensitivity,Limited,0.5,1.3,B,987.9153369275198,50.9940738724914,0.44970072198149214,988.0305433689193,51.004535586862914,0.44969228219271984,0.07295710927661907,0.07291520654549608,2.725225294322492e-150,0.0
Sensitivity,Unlimited,0.5,1.3,A,840.947025771032,43.40788441283826,0.38280049970027646,840.9834128401404,43.413605678534424,0.38276524217237234,0.3241655026808055,0.324130937816408,0.0,0.0
Sensitivity,Unlimited,0.5,1.3,B,987.9153369275198,50.9940738724914,0.44970072198149214,988.0305433689193,51.004535586862914,0.44969228219271984,0.07295710927661907,0.07291520654549608,0.0,0.0
Sensitivity,Limited,0.6,1.0,A,792.5479270990403,49.09155191497167,0.46899989321835855,792.5265850224332,49.09001917723448,0.46895535002876204,0.41183640070522204,0.41187989299006394,4.113028205962841e-121,0.0
Sensitivity,Limited,0.6,1.0,B,792.5479270990403,49.09155191497167,0.46899989321835855,792.5920578326343,49.09407463930869,0.46899409172551454,0.09862267526693197,0.09859197996343756,2.51637685423477e-195,0.0
Sensitivity,Unlimited,0.6,1.0,A,792.5479270990403,49.09155191497167,0.46899989321835855,792.5265850224332,49.09001917723448,0.46895535002876204,0.41183640070522204,0.41187989299006394,0.0,0.0
Sensitivity,Unlimited,0.6,1.0,B,792.5479270990403,49.09155191497167,0.46899989321835855,792.5920578326343,49.09407463930869,0.46899409172551454,0.09862267526693197,0.09859197996343756,0.0,0.0
Sensitivity,Limited,0.6,1.05,A,802.3358286817999,49.697828535298534,0.4521828602357388,802.3153716266355,49.69634801364638,0.4521405615253783,0.3945164927175068,0.39454492653706025,2.351123710677597e-115,0.0
Sensitivity,Limited,0.6,1.05,B,825.1880458566653,51.11332754482648,0.465061982113963,825.2341230925036,51.11596215686895,0.46505630204799725,0.09328878033482191,0.09326511849212261,4.945157848362812e-186,0.0
Sensitivity,Unlimited,0.6,1.05,A,802.3358286817999,49.697828535298534,0.4521828602357388,802.3153716266355,49.69634801364638,0.4521405615253783,0.3945164927175068,0.39454492653706025,0.0,0.0
Sensitivity,Unlimited,0.6,1.05,B,825.1880458566653,51.11332754482648,0.465061982113963,825.2341230925036,51.11596215686895,0.46505630204799725,0.09328878033482191,0.09326511849212261,0.0,0.0
Sensitivity,Limited,0.6,1.1,A,811.3278433323724,50.25480678096065,0.4364664886241157,811.310073270084,50.2534903032743,0.4364272288176626,0.37842096469908454,0.37851361656684396,4.0252718715688735e-110,0.0
Sensitivity,Limited,0.6,1.1,B,857.7907395298497,53.132785011434734,0.4614619295192853,857.8388604899628,53.135537543181904,0.4614564135099848,0.08845397376282428,0.08842717259882298,1.3883820264743596e-177,0.0
Sensitivity,Unlimited,0.6,1.1,A,811.3278433323724,50.25480678096065,0.4364664886241157,811.310073270084,50.2534903032743,0.4364272288176626,0.37842096469908454,0.37851361656684396,0.0,0.0
Sensitivity,Unlimited,0.6,1.1,B,857.7907395298497,53.132785011434734,0.4614619295192853,857.8388604899628,53.135537543181904,0.4614564135099848,0.08845397376282428,0.08842717259882298,0.0,0.0
ADAS,Limited,0.6,1.15,A,819.6132433470393,50.76801630564533,0.4217531512212947,819.5981147619647,50.766861240561674,0.42171666738937125,0.3634349321343261,0.3635011444085875,2.4156022343375e-105,0.0
ADAS,Limited,0.6,1.15,B,890.3609886795161,55.15023281786197,0.4581582298092449,890.4111166175963,55.15310100183367,0.4581528458194149,0.08405350486208875,0.08403103306227826,7.177927377396293e-170,0.0
ADAS,Unlimited,0.6,1.15,A,819.6132433470393,50.76801630564533,0.4217531512212947,819.5981147619647,50.766861240561674,0.42171666738937125,0.3634349321343261,0.3635011444085875,0.0,0.0
ADAS,Unlimited,0.6,1.15,B,890.3609886795161,55.15023281786197,0.4581582298092449,890.4111166175963,55.15310100183367,0.4581528458194149,0.08405350486208875,0.08403103306227826,0.0,0.0
Sensitivity,Limited,0.6,1.2,A,827.2688059469224,51.24221280021709,0.4079553302979627,827.2553678799609,51.241160411732984,0.4079209433253462,0.3494561088846014,0.3494932707431846,5.792762530075802e-101,0.0
Sensitivity,Limited,0.6,1.2,B,922.9029409948394,57.16592787790669,0.4551158842446035,922.9551113031455,57.16891391386639,0.45511063967415694,0.08003317624604972,0.08000321078887054,8.443328258901383e-163,0.0
Sensitivity,Unlimited,0.6,1.2,A,827.2688059469224,51.24221280021709,0.4079553302979627,827.2553678799609,51.241160411732984,0.4079209433253462,0.3494561088846014,0.3494932707431846,0.0,0.0
