scenario,frequency_multiplier,severity_multiplier,tvar99_ratio_a_b,ratio_mcse,ratio_ci95_low,ratio_ci95_high,mean_a_minus_b,mean_difference_mcse
Sensitivity,0.9,1.05,1.1050495031807772,0.0004330300231372796,1.1042007643354281,1.1058982420261263,2135.9582331058987,6.769266128956377
Sensitivity,0.9,1.1,1.1244622729256644,0.00042079832601251907,1.1236375082066798,1.1252870376446489,4330.300544141857,7.215720981177479
Sensitivity,0.9,1.15,1.142489946647026,0.0004082820867487216,1.1416897137569986,1.1432901795370534,6587.37648502947,7.6769923293227516
Sensitivity,0.9,1.2,1.1592774352438435,0.0003953262415776444,1.1585025958103514,1.1600522746773356,8900.336473534177,8.151286707616237
Sensitivity,0.9,1.25,1.1749492873983225,0.000383621702258253,1.1741973888618964,1.1757011859347486,11263.387777864305,8.636928746880743
Sensitivity,0.9,1.3,1.189605749076817,0.000372915567840866,1.188874834563849,1.1903366635897852,13671.401399649116,9.132563734857014
Baseline,1.0,1.0,1.0797669219076451,0.0004281285194804061,1.0789277900094636,1.0806060538058266,11.996906520621973,6.682367994465961
Sensitivity,1.0,1.05,1.100853232442341,0.0004136719058008639,1.1000424355069713,1.1016640293777107,2371.924919426892,7.135599348051928
Sensitivity,1.0,1.1,1.1204001354417366,0.00040185573726770344,1.119612498196692,1.1211877726867812,4810.063672895523,7.606541569888957
Sensitivity,1.0,1.15,1.1385623178736413,0.00039034745841159583,1.1377972368551545,1.139327398892128,7317.911667643305,8.093229008561389
Sensitivity,1.0,1.2,1.1554776655105614,0.00037781316248440506,1.154737151712092,1.156218179309031,9887.847981602043,8.593832773107621
Sensitivity,1.0,1.25,1.1712720918446131,0.0003667517064910828,1.1705532584998906,1.1719909251893357,12513.448655447082,9.106515646386685
Sensitivity,1.0,1.3,1.1860432903259868,0.0003553246551690007,1.1853468540018555,1.186739726650118,15189.004333635183,9.629833684996932
